trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.6636502501363194}",25,14,-41.51726642580874,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
43,False,"{'a': 0.01, 'e': 0.6570468198150567}",25,5,-118.29802323654009,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",1
44,False,"{'a': 0.01, 'e': 0.6505090947233165}",30,3,-128.86276521354839,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 2}",1
45,False,"{'a': 0.01, 'e': 0.6440364210831414}",20,0,9.114219485560511,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.6376281516217733}",30,16,-22.052884594164617,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
47,False,"{'a': 0.01, 'e': 0.631283645506926}",25,1,-25.15086107858624,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 0}",1
48,False,"{'a': 0.01, 'e': 0.6250022682827008}",20,0,-120.27903317525468,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
49,False,"{'a': 0.01, 'e': 0.6187833918061408}",25,0,-157.02449141989035,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,0,-60.84340878370802,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.6065306597126334}",20,2,-63.559866473707736,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
52,False,"{'a': 0.01, 'e': 0.6004955788122659}",30,0,-79.16309093436809,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.5945205479701944}",20,0,-24.962711735908766,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.5886049696783552}",30,0,-127.01887009773642,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
55,False,"{'a': 0.01, 'e': 0.5827482523739896}",30,0,-82.01164574512138,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.5769498103804866}",25,13,4.026694975488308,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.5712090638488149}",25,0,-27.273727314260483,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.5655254386995371}",25,12,-32.74689248728319,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
59,False,"{'a': 0.01, 'e': 0.559898366565402}",25,3,-2.257201282867932,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.5543272847345071}",20,0,11.241096877143995,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.5488116360940265}",25,9,-21.268544654675004,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.5433508690744998}",20,0,-94.53534935813478,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
63,False,"{'a': 0.01, 'e': 0.5379444375946745}",25,5,20.35878762430066,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.01, 'e': 0.5325918010068972}",25,4,-39.343332214175504,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
65,False,"{'a': 0.01, 'e': 0.5272924240430485}",25,6,-28.421356629484514,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.522045776761016}",20,6,24.036579177139327,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.5168513344916992}",25,0,-29.936036825164877,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
68,False,"{'a': 0.01, 'e': 0.5117085777865424}",20,0,-45.476218436897895,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.5066169923655895}",25,3,-31.692632639075562,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.5015760690660555}",30,16,10.935961453690702,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.49658530379140947}",20,0,3.7922784621233987,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
