trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
238,False,"{'a': 0.01, 'e': 0.09348072627805847}",20,0,21.972717432037605,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
239,False,"{'a': 0.01, 'e': 0.09255057751034329}",20,0,-22.59715813577702,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
240,False,"{'a': 0.01, 'e': 0.09162968387750484}",35,14,17.511868818472962,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
241,False,"{'a': 0.01, 'e': 0.09071795328941251}",20,1,18.393964381244043,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.01, 'e': 0.08981529457224763}",20,0,20.892904283690868,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
243,False,"{'a': 0.01, 'e': 0.08892161745938634}",20,6,-17.52981393731854,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
244,False,"{'a': 0.01, 'e': 0.08803683258237255}",20,0,25.296732598142654,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
245,False,"{'a': 0.01, 'e': 0.0871608514619813}",30,13,29.840290331081007,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.01, 'e': 0.0862935864993705}",20,10,19.8032671577491,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.01, 'e': 0.08543495096732123}",20,12,1.3674163832492026,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
248,False,"{'a': 0.01, 'e': 0.08458485900156469}",30,22,17.760842854021057,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.01, 'e': 0.08374322559219596}",20,2,21.286573959712683,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
250,False,"{'a': 0.01, 'e': 0.08290996657517266}",25,4,-12.224162213374106,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
251,False,"{'a': 0.01, 'e': 0.0820849986238988}",30,13,9.178634584200054,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
252,False,"{'a': 0.01, 'e': 0.08126823924089167}",20,15,-12.609134989631077,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
253,False,"{'a': 0.01, 'e': 0.08045960674953244}",30,12,19.010386965488735,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
254,False,"{'a': 0.01, 'e': 0.07965902028589801}",20,5,17.988519731989502,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.01, 'e': 0.07886639979067495}",35,27,13.23474967227784,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.01, 'e': 0.07808166600115313}",20,11,17.909429900718152,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.01, 'e': 0.07730474044329974}",25,11,-14.589274490495107,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
258,False,"{'a': 0.01, 'e': 0.07653554542391151}",25,0,45.52051189446127,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
259,False,"{'a': 0.01, 'e': 0.07577400402284548}",30,14,33.192990592965366,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.01, 'e': 0.07502004008532698}",20,10,17.082239565510378,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.01, 'e': 0.07427357821433388}",25,16,10.321049871086569,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.01, 'e': 0.0735345437630571}",25,0,27.058598781172755,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
263,False,"{'a': 0.01, 'e': 0.07280286282743559}",25,15,17.40599891447309,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.01, 'e': 0.0720784622387661}",35,7,51.52791190635019,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.01, 'e': 0.07136126955638605}",25,0,19.92138727826689,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
266,False,"{'a': 0.01, 'e': 0.0706512130604296}",30,10,32.50441444656108,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.01, 'e': 0.06994822174465536}",25,0,33.956007365237106,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
268,False,"{'a': 0.01, 'e': 0.069252225309346}",25,13,7.895203870342083,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
269,False,"{'a': 0.01, 'e': 0.06856315415427791}",35,1,-32.38760915910366,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 2}",1
270,False,"{'a': 0.01, 'e': 0.06788093937176144}",25,7,25.36677526629407,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.01, 'e': 0.06720551273974976}",20,7,23.37162592890987,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.01, 'e': 0.06653680671501686}",20,6,21.267716553681815,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.01, 'e': 0.06587475442640295}",20,8,-19.4257897777838,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
274,False,"{'a': 0.01, 'e': 0.06521928966812753}",20,16,6.992369709309633,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.01, 'e': 0.06457034689316847}",20,12,10.461315063274657,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.01, 'e': 0.06392786120670757}",30,3,20.96520015354582,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 0}",1
277,False,"{'a': 0.01, 'e': 0.0632917683596407}",20,10,17.639366785734243,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.01, 'e': 0.06266200474215315}",20,13,-7.084836200647403,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
279,False,"{'a': 0.01, 'e': 0.06203850737735829}",20,11,16.16785208602188,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.01, 'e': 0.06142121391500013}",20,6,23.550803773288344,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.01, 'e': 0.06081006262521795}",20,3,-3.346713168436803,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
